#! app.pen の color 変数の写し。 名前 / 明 / 暗 の 3 列 (tab 区切り)。
#! 手で編集しない。 更新手順は同 dir の README.md を参照。
#! 実装との一致は apps/playground-spa/tests/palette-matches-pen.spec.ts が見る。
accent	#c8442a	#f2704c
accent-soft	#fbeae4	#41241b
bg	#faf9f6	#23211e
border	#e3e0d8	#54504a
border-strong	#c7c3b8	#6e6860
code-bg	#f5f4ef	#1f1d1b
code-selection-bg	#e8eef7	#292521
dg-1	#2c68ae	#6fa8e8
dg-2	#2a7a57	#5fc496
dg-3	#9a6b1f	#e0a94f
dg-4	#65499f	#a98de8
dg-5	#a93a5e	#e883a6
dg-6	#1f7178	#5fc2c7
err	#be3b2a	#f0806c
err-soft	#fbe9e5	#4a2620
hint	#2c68ae	#6fa8e8
hint-soft	#e8eff8	#22304a
on-accent	#ffffff	#1c0f09
on-dark	#ffffff	#ffffff
scrim	#100e0cb8	#100e0cb8
surface	#ffffff	#2e2c28
surface-2	#f2f1ec	#3b3834
surface-3	#e8e6df	#494540
text-muted	#6d6960	#a8a199
text-primary	#191714	#f3f1ec
text-secondary	#57534b	#c4bdb3
warn	#9a6b1f	#e0a94f
warn-soft	#f8efdc	#40331a
